valid_time_gmt,temp,wspd,pressure,precip_hrly
2015-01-01 00:51,29,8,30.13,0
2015-01-01 01:51,28,12,30.13,0
2015-01-01 02:51,28,8,30.12,0
2015-01-01 03:51,28,15,30.1,0
2015-01-01 04:51,28,15,30.12,0
2015-01-01 05:51,28,12,30.14,0
2015-01-01 06:51,28,13,30.14,0
2015-01-01 07:51,28,13,30.15,0
2015-01-01 08:51,28,17,30.16,0
2015-01-01 09:51,30,15,30.17,0
2015-01-01 10:51,31,17,30.14,0
2015-01-01 11:51,33,18,30.09,0
2015-01-01 12:51,36,16,30.03,0
2015-01-01 13:51,37,14,30.0,0
2015-01-01 14:51,38,15,29.98,0
2015-01-01 15:51,38,15,29.97,0
2015-01-01 16:51,38,13,29.96,0
2015-01-01 17:51,38,14,29.96,0
2015-01-01 18:51,38,15,29.97,0
2015-01-01 19:51,38,15,29.97,0
2015-01-01 20:51,37,13,29.97,0
2015-01-01 21:51,38,17,29.98,0
2015-01-01 22:51,38,10,30.0,0
2015-01-01 23:51,37,16,30.0,0
2015-01-02 00:51,37,13,30.0,0
2015-01-02 01:51,38,15,30.01,0
2015-01-02 02:51,38,16,30.04,0
2015-01-02 03:51,38,16,30.04,0
2015-01-02 04:51,37,10,30.05,0
2015-01-02 05:51,37,15,30.1,0
2015-01-02 06:51,37,18,30.14,0
2015-01-02 07:51,37,17,30.16,0
2015-01-02 08:51,38,12,30.18,0
2015-01-02 09:51,39,20,30.21,0
2015-01-02 10:51,40,14,30.2,0
2015-01-02 11:51,40,13,30.19,0
2015-01-02 12:51,41,18,30.18,0
2015-01-02 13:51,41,14,30.19,0
2015-01-02 14:51,42,16,30.22,0
2015-01-02 15:51,41,10,30.24,0
2015-01-02 16:51,40,12,30.26,0
2015-01-02 17:51,40,13,30.29,0
2015-01-02 18:51,40,15,30.32,0
2015-01-02 19:51,39,14,30.35,0
2015-01-02 20:51,38,10,30.37,0
2015-01-02 21:51,38,9,30.4,0
2015-01-02 22:51,36,7,30.42,0
2015-01-02 23:51,35,9,30.44,0
2015-01-03 00:51,35,6,30.45,0
2015-01-03 01:51,34,6,30.46,0
2015-01-03 02:51,34,5,30.48,0
2015-01-03 03:51,34,5,30.51,0
2015-01-03 04:51,33,7,30.52,0
2015-01-03 05:51,32,7,30.54,0
2015-01-03 06:51,32,8,30.56,0
2015-01-03 07:51,32,10,30.56,0
2015-01-03 08:51,33,12,30.57,0
2015-01-03 09:51,35,9,30.58,0
2015-01-03 10:51,37,13,30.54,0
2015-01-03 11:51,39,12,30.52,0
2015-01-03 12:27,37,13,30.49,0.0
2015-01-03 12:39,36,13,30.49,0.01
2015-01-03 12:51,35,10,30.48,0.01
2015-01-03 13:12,36,10,30.49,0.0
2015-01-03 13:32,34,9,30.5,0.01
2015-01-03 13:51,34,12,30.49,0.02
2015-01-03 14:04,34,12,30.47,0.01
2015-01-03 14:11,34,12,30.46,0.01
2015-01-03 14:30,34,12,30.44,0.03
2015-01-03 14:41,34,8,30.44,0.05
2015-01-03 14:47,34,8,30.44,0.05
2015-01-03 14:51,33,8,30.44,0.05
2015-01-03 15:49,34,9,30.43,0.08
2015-01-03 15:51,34,10,30.43,0.08
2015-01-03 16:33,36,12,30.4,0.04
2015-01-03 16:51,36,10,30.39,0.05
2015-01-03 17:51,36,8,30.36,0.11
2015-01-03 17:53,36,8,30.36,0.0
2015-01-03 18:51,37,10,30.34,0.06
2015-01-03 19:51,38,12,30.29,0.09
2015-01-03 20:10,37,14,30.26,0.01
2015-01-03 20:51,38,12,30.22,0.03
2015-01-03 21:51,39,13,30.17,0.07
2015-01-03 21:59,39,13,30.16,0.01
2015-01-03 22:25,39,13,30.13,0.03
2015-01-03 22:51,40,14,30.12,0.05
2015-01-03 23:51,41,13,30.07,0.04
2015-01-04 00:19,41,13,30.05,0.06
2015-01-04 00:51,41,10,30.01,0.15
2015-01-04 00:58,41,9,30.01,0.01
2015-01-04 01:51,41,7,29.98,0.02
2015-01-04 02:51,41,5,29.96,0.01
2015-01-04 03:51,41,0,29.96,0.01
2015-01-04 03:58,41,0,29.95,0
2015-01-04 04:15,41,3,29.95,0
2015-01-04 04:27,41,3,29.94,0
2015-01-04 04:29,41,3,29.94,0
2015-01-04 04:51,41,0,29.94,0
2015-01-04 05:24,43,0,29.92,0.0
2015-01-04 05:51,44,5,29.93,0.0
2015-01-04 06:23,45,7,29.92,0.0
2015-01-04 06:44,45,9,29.93,0.0
2015-01-04 06:51,45,9,29.93,0.0
2015-01-04 07:51,45,8,29.92,0.04
2015-01-04 08:51,45,7,29.9,0.0
2015-01-04 09:12,46,8,29.88,0.0
2015-01-04 09:41,46,12,29.88,0.0
2015-01-04 09:51,46,8,29.86,0.0
2015-01-04 10:51,47,7,29.84,0.0
2015-01-04 10:54,46,5,29.84,0.0
2015-01-04 11:51,50,13,29.77,0.0
2015-01-04 12:21,50,9,29.73,0
2015-01-04 12:51,51,7,29.73,0.0
2015-01-04 13:02,52,7,29.7,0.0
2015-01-04 13:38,52,15,29.73,0.0
2015-01-04 13:51,52,15,29.72,0.0
2015-01-04 14:51,53,15,29.7,0
2015-01-04 15:51,55,14,29.68,0
2015-01-04 16:51,56,13,29.65,0
2015-01-04 17:51,56,12,29.64,0
2015-01-04 18:51,56,10,29.67,0
2015-01-04 19:51,54,13,29.67,0.01
2015-01-04 20:15,54,10,29.65,0.03
2015-01-04 20:51,54,17,29.68,0.08
2015-01-04 21:51,53,21,29.71,0.0
2015-01-04 22:51,52,24,29.73,0.0
2015-01-04 23:51,51,24,29.75,0
2015-01-05 00:51,49,20,29.77,0
2015-01-05 01:51,47,23,29.8,0
2015-01-05 02:51,45,21,29.84,0
2015-01-05 03:51,44,13,29.85,0
2015-01-05 04:51,42,21,29.87,0
2015-01-05 05:51,41,25,29.91,0
2015-01-05 06:51,41,20,29.96,0
2015-01-05 07:51,39,25,30.02,0
2015-01-05 08:51,40,20,30.05,0
2015-01-05 09:51,38,24,30.08,0
2015-01-05 10:51,37,24,30.1,0
2015-01-05 11:51,36,28,30.11,0
2015-01-05 12:51,35,22,30.1,0
2015-01-05 13:51,36,24,30.13,0
2015-01-05 14:51,35,20,30.16,0
2015-01-05 15:51,33,20,30.19,0
2015-01-05 16:51,32,24,30.23,0
2015-01-05 17:51,30,22,30.25,0
2015-01-05 18:51,29,25,30.33,0
2015-01-05 19:51,27,21,30.33,0
2015-01-05 20:51,25,18,30.35,0
2015-01-05 21:51,23,14,30.37,0
2015-01-05 22:51,22,14,30.39,0
2015-01-05 23:51,22,15,30.39,0
2015-01-06 00:51,21,14,30.41,0
2015-01-06 01:51,20,15,30.41,0
2015-01-06 02:51,20,13,30.4,0
2015-01-06 03:51,19,9,30.37,0
2015-01-06 04:51,20,7,30.37,0
2015-01-06 05:51,19,7,30.34,0
2015-01-06 06:51,20,10,30.38,0
2015-01-06 07:51,20,0,30.35,0
2015-01-06 08:51,19,3,30.32,0.0
2015-01-06 09:05,18,5,30.33,0.0
2015-01-06 09:32,18,3,30.34,0.01
2015-01-06 09:51,18,6,30.33,0.01
2015-01-06 10:48,19,6,30.27,0.03
2015-01-06 10:51,19,0,30.27,0.03
2015-01-06 11:04,19,5,30.26,0.0
2015-01-06 11:18,19,6,30.26,0.0
2015-01-06 11:27,19,7,30.25,0.0
2015-01-06 11:44,19,10,30.25,0.0
2015-01-06 11:51,20,8,30.24,0.0
2015-01-06 12:44,19,8,30.18,0.01
2015-01-06 12:51,20,8,30.17,0.01
2015-01-06 13:03,21,7,30.17,0.0
2015-01-06 13:51,21,7,30.14,0.0
2015-01-06 14:51,21,0,30.11,0.0
2015-01-06 15:51,22,8,30.11,0.0
2015-01-06 16:04,21,6,30.11,0
2015-01-06 16:51,22,7,30.1,0.0
2015-01-06 17:51,22,5,30.09,0
2015-01-06 18:51,21,8,30.08,0
2015-01-06 19:51,21,10,30.08,0
2015-01-06 20:51,22,15,30.08,0
2015-01-06 21:51,21,15,30.07,0
2015-01-06 22:51,22,9,30.04,0
2015-01-06 23:51,21,13,30.0,0
2015-01-07 00:51,21,9,30.0,0
2015-01-07 01:51,21,12,30.01,0
2015-01-07 02:51,21,17,30.0,0
2015-01-07 03:51,22,14,29.95,0
2015-01-07 04:51,22,9,29.92,0
2015-01-07 05:51,22,14,29.9,0
2015-01-07 06:51,21,13,29.92,0
2015-01-07 07:51,22,21,29.93,0
2015-01-07 08:51,22,28,29.94,0
2015-01-07 09:51,23,21,29.94,0
2015-01-07 10:51,24,22,29.93,0
2015-01-07 11:51,23,22,29.91,0
2015-01-07 12:51,22,23,29.92,0.0
2015-01-07 13:51,23,21,29.93,0.0
2015-01-07 14:51,25,21,29.96,0.0
2015-01-07 15:15,21,23,29.99,0.0
2015-01-07 15:20,19,20,29.99,0.0
2015-01-07 15:51,22,21,30.0,0.0
2015-01-07 16:51,20,22,30.05,0
2015-01-07 17:51,17,30,30.11,0
2015-01-07 18:51,15,25,30.14,0
2015-01-07 19:51,13,24,30.19,0
2015-01-07 20:51,11,26,30.22,0
2015-01-07 21:51,11,26,30.23,0
2015-01-07 22:51,10,24,30.24,0
2015-01-07 23:51,10,16,30.26,0
2015-01-08 00:51,10,21,30.28,0
2015-01-08 01:51,9,22,30.3,0
2015-01-08 02:51,10,17,30.31,0
2015-01-08 03:51,8,10,30.32,0
2015-01-08 04:51,9,14,30.34,0
2015-01-08 05:51,9,16,30.37,0
2015-01-08 06:51,10,9,30.39,0
2015-01-08 07:51,10,16,30.41,0
2015-01-08 08:51,11,17,30.42,0
2015-01-08 09:51,13,15,30.41,0
2015-01-08 10:51,15,17,30.4,0
2015-01-08 11:51,17,14,30.35,0
2015-01-08 12:51,19,12,30.33,0
2015-01-08 13:51,20,14,30.33,0
2015-01-08 14:51,20,14,30.33,0
2015-01-08 15:51,20,12,30.32,0
2015-01-08 16:51,19,12,30.31,0
2015-01-08 17:51,19,10,30.31,0
2015-01-08 18:51,18,13,30.31,0
2015-01-08 19:51,17,15,30.31,0
2015-01-08 20:51,17,13,30.29,0
2015-01-08 21:51,17,14,30.28,0
2015-01-08 22:51,17,13,30.25,0
2015-01-08 23:51,18,17,30.2,0
2015-01-09 00:51,20,13,30.18,0
2015-01-09 01:51,21,17,30.13,0
2015-01-09 02:51,22,18,30.08,0
2015-01-09 03:51,23,13,30.03,0
2015-01-09 04:51,25,12,30.0,0
2015-01-09 05:51,25,16,29.97,0
2015-01-09 06:51,25,17,29.99,0.0
2015-01-09 07:01,23,18,29.99,0.0
2015-01-09 07:42,21,12,30.0,0.03
2015-01-09 07:51,23,14,30.01,0.03
2015-01-09 08:07,23,10,30.02,0.0
2015-01-09 08:46,23,16,30.03,0.02
2015-01-09 08:51,24,15,30.03,0.03
2015-01-09 08:57,25,14,30.03,0.0
2015-01-09 09:07,25,13,30.03,0.0
2015-01-09 09:51,25,13,30.04,0.0
